CustomerID,CustomerName,Phone,City
C001,Rahul Sharma,9876543210,Delhi
C002,Priya Singh,9876543211,Mumbai
C003,Aman Verma,9876543212,Bangalore
C004,Neha Gupta,9876543213,Pune
C005,Arjun Mehta,9876543214,Hyderabad
C006,Sneha Patel,9876543215,Ahmedabad
C007,Vikram Rao,9876543216,Chennai
C008,Kavya Nair,9876543217,Kochi
C009,Rohan Kapoor,9876543218,Jaipur
C010,Anjali Joshi,9876543219,Lucknow
C011,Karan Malhotra,9876543220,Delhi
C012,Pooja Iyer,9876543221,Mumbai
C013,Mohit Agarwal,9876543222,Bangalore
C014,Simran Kaur,9876543223,Pune
C015,Nikhil Jain,9876543224,Hyderabad
C016,Divya Menon,9876543225,Chennai
C017,Sahil Khan,9876543226,Kolkata
C018,Ishita Das,9876543227,Kolkata
C019,Varun Bansal,9876543228,Jaipur
C020,Meera Shah,9876543229,Ahmedabad
C021,Aditya Roy,9876543230,Delhi
C022,Riya Kapoor,9876543231,Mumbai
C023,Yash Thakur,9876543232,Bangalore
C024,Tanya Sethi,9876543233,Pune
C025,Harsh Vardhan,9876543234,Lucknow
